Timestamp,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change,Sell_%_Change
2026-02-23 10:23:48,10:23:48,YESBANK,20.96,468042,914764,-446722,0.0,0.0,NEUTRAL
2026-02-23 10:24:18,10:24:18,IDEA,10.99,5678032,3685768,1992264,-0.72,6.09,NEUTRAL
2026-02-23 10:24:18,10:24:18,YESBANK,20.97,812814,840515,-27701,26.92,-4.23,NEUTRAL
2026-02-23 10:24:49,10:24:49,IDEA,10.98,5693467,3912315,1781152,-0.3,8.07,NEUTRAL
2026-02-23 10:24:49,10:24:49,YESBANK,20.97,829544,858318,-28774,17.92,-1.48,NEUTRAL
2026-02-23 10:25:19,10:25:19,IDEA,10.99,5640901,3730087,1910814,-0.92,2.26,NEUTRAL
2026-02-23 10:25:19,10:25:19,YESBANK,20.97,809390,859656,-50266,10.88,-1.0,NEUTRAL
2026-02-23 10:25:50,10:25:50,IDEA,10.99,5582747,3552339,2030408,-1.56,-2.1,NEUTRAL
2026-02-23 10:25:50,10:25:50,YESBANK,20.97,781116,914183,-133067,5.53,4.18,NEUTRAL
2026-02-23 10:26:20,10:26:20,IDEA,10.98,5719469,3340780,2378689,0.71,-6.7,NEUTRAL
2026-02-23 10:26:20,10:26:20,YESBANK,20.96,819422,736956,82466,8.76,-13.71,NEUTRAL
2026-02-23 10:26:52,10:26:52,IDEA,11.0,5906035,3675213,2230822,3.55,0.71,NEUTRAL
2026-02-23 10:26:52,10:26:52,YESBANK,20.97,892667,585726,306941,8.31,-26.71,NEUTRAL
2026-02-23 10:27:23,10:27:23,IDEA,11.0,5756293,3726274,2030019,0.7,1.92,NEUTRAL
2026-02-23 10:27:23,10:27:23,YESBANK,20.97,864232,619530,244702,3.78,-18.74,NEUTRAL
2026-02-23 10:27:53,10:27:53,IDEA,10.99,5468842,3386277,2082565,-3.7,-5.11,NEUTRAL
2026-02-23 10:27:53,10:27:53,YESBANK,20.97,836338,668576,167762,0.3,-8.51,NEUTRAL
2026-02-23 10:28:37,10:28:37,IDEA,10.99,5927424,3342499,2584925,2.53,-3.4,NEUTRAL
2026-02-23 10:28:37,10:28:37,YESBANK,20.96,833555,715494,118061,-1.45,6.1,NEUTRAL
2026-02-23 10:29:08,10:29:08,IDEA,10.99,4214467,3849955,364512,-23.79,8.6,NEUTRAL
2026-02-23 10:29:08,10:29:08,YESBANK,20.96,764605,728703,35902,-8.61,8.27,NEUTRAL
2026-02-23 10:29:38,10:29:38,IDEA,10.99,4284210,4176353,107857,-18.55,15.1,NEUTRAL
2026-02-23 10:29:38,10:29:38,YESBANK,20.97,763308,719208,44100,-6.36,3.44,NEUTRAL
2026-02-23 10:30:16,10:30:16,IDEA,10.99,4087584,4340380,-252796,-17.95,16.34,SELL SIGNAL
2026-02-23 10:30:16,10:30:16,YESBANK,20.96,783217,777107,6110,-2.29,7.7,NEUTRAL
2026-02-23 10:30:46,10:30:46,IDEA,10.98,4260087,5061908,-801821,-10.89,26.23,SELL SIGNAL
2026-02-23 10:30:47,10:30:47,YESBANK,20.96,952649,730129,222520,16.04,-0.23,BUY SIGNAL
2026-02-23 10:31:17,10:31:17,IDEA,10.98,5085121,4564921,520200,9.52,8.11,NEUTRAL
2026-02-23 10:31:17,10:31:17,YESBANK,20.97,908864,874948,33916,8.93,15.49,NEUTRAL
2026-02-23 10:31:47,10:31:47,IDEA,10.99,5487315,4165990,1321325,20.08,-4.45,BUY SIGNAL
2026-02-23 10:31:48,10:31:48,YESBANK,20.95,853396,697612,155784,1.88,-7.55,NEUTRAL
2026-02-23 10:32:18,10:32:18,IDEA,10.99,5363802,4654068,709734,12.65,3.56,BUY SIGNAL
2026-02-23 10:32:18,10:32:18,YESBANK,20.96,861970,719728,142242,0.94,-4.43,NEUTRAL
2026-02-23 10:32:48,10:32:48,IDEA,10.98,5364488,4305819,1058669,8.56,-4.64,NEUTRAL
2026-02-23 10:32:49,10:32:49,YESBANK,20.95,883488,725120,158368,1.09,-3.84,NEUTRAL
2026-02-23 10:33:19,10:33:19,IDEA,10.99,5394282,4197027,1197255,4.56,-6.56,NEUTRAL
2026-02-23 10:33:19,10:33:19,YESBANK,20.98,812195,739950,72245,-7.57,-1.06,NEUTRAL
2026-02-23 10:33:49,10:33:49,IDEA,10.99,5008309,4691245,317064,-5.22,5.9,NEUTRAL
2026-02-23 10:33:50,10:33:50,YESBANK,20.97,523996,728943,-204947,-35.09,-2.51,NEUTRAL
2026-02-23 10:34:20,10:34:20,IDEA,10.99,4795453,4767484,27969,-8.41,6.81,NEUTRAL
2026-02-23 10:34:20,10:34:20,YESBANK,21.0,611327,691338,-80011,-19.32,-3.59,NEUTRAL
2026-02-23 10:34:50,10:34:50,IDEA,10.99,5072759,4358092,714667,-1.81,-3.06,NEUTRAL
2026-02-23 10:34:51,10:34:51,YESBANK,20.96,1019382,499988,519394,29.79,-26.92,BUY SIGNAL
2026-02-23 10:35:21,10:35:21,IDEA,10.99,4636556,4859910,-223354,-8.1,7.28,NEUTRAL
2026-02-23 10:35:21,10:35:21,YESBANK,20.97,817005,528436,288569,5.03,-18.99,NEUTRAL
2026-02-23 10:35:51,10:35:51,IDEA,10.99,5240061,5011464,228597,4.29,7.83,NEUTRAL
2026-02-23 10:35:51,10:35:51,YESBANK,20.97,873600,479674,393926,12.54,-21.54,BUY SIGNAL
2026-02-23 10:36:22,10:36:22,IDEA,10.99,5413623,4906450,507173,7.67,2.95,NEUTRAL
2026-02-23 10:36:22,10:36:22,YESBANK,20.97,784218,530092,254126,1.64,-8.04,NEUTRAL
2026-02-23 10:36:52,10:36:52,IDEA,10.98,4593310,5056807,-463497,-7.37,4.77,NEUTRAL
2026-02-23 10:36:53,10:36:53,YESBANK,20.97,1176397,442445,733952,33.63,-16.31,BUY SIGNAL
2026-02-23 10:37:26,10:37:26,IDEA,10.98,4607435,4832714,-225279,-6.49,-0.1,NEUTRAL
2026-02-23 10:37:26,10:37:26,YESBANK,20.96,1139381,622179,517202,17.66,20.31,BUY SIGNAL
2026-02-23 10:37:57,10:37:57,IDEA,10.97,4510172,5050587,-540415,-6.69,1.97,NEUTRAL
2026-02-23 10:37:57,10:37:57,YESBANK,20.96,1134998,623937,511061,14.92,16.02,BUY SIGNAL
2026-02-23 10:38:27,10:38:27,IDEA,10.98,4439380,5494637,-1055257,-7.53,8.62,NEUTRAL
2026-02-23 10:38:27,10:38:27,YESBANK,20.97,1010337,596608,413729,-0.93,8.64,NEUTRAL
2026-02-23 10:38:58,10:38:58,IDEA,10.97,4372041,5453013,-1080972,-6.1,6.25,NEUTRAL
2026-02-23 10:38:58,10:38:58,YESBANK,20.97,1099993,610628,489365,4.01,6.94,NEUTRAL
